s,C,1/m,m,1/m,1/m,1/m
Time,T_fire,K_fire,V_fire,K_left,K_right,K_branch
 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6091309E-001, 1.9999991E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.9136964E-001, 1.9999963E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.2182618E-001, 1.9999945E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3827393E+000, 1.9999920E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6131958E+000, 1.9999895E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8436524E+000, 1.9999879E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3045655E+000, 1.9999856E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5350220E+000, 1.9999834E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7654785E+000, 1.9999820E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2263916E+000, 1.9999799E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4568482E+000, 1.9999780E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6873047E+000, 1.9999767E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9177613E+000, 1.9999755E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3786744E+000, 1.9999737E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6091309E+000, 1.9999719E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8395875E+000, 1.9999708E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.3005005E+000, 1.9999692E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.5309571E+000, 1.9999677E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.7614136E+000, 1.9999667E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2223267E+000, 1.9999652E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4527833E+000, 1.9999639E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6832398E+000, 1.9999630E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.9136964E+000, 1.9999621E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.3746095E+000, 1.9999608E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6050660E+000, 1.9999596E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.8355226E+000, 1.9999588E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.2964356E+000, 1.9999577E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.5268922E+000, 1.9999566E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.7573487E+000, 1.9999559E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.2182618E+000, 1.9999549E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.4487184E+000, 1.9999540E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.6791749E+000, 1.9999533E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.9096315E+000, 1.9999527E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0370545E+001, 1.9999519E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0601001E+001, 1.9999510E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
