,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-06-19T10:49:41.985+02:00, 0.230E+00,   0.23046, 0.32188E+01
       2,2026-06-19T10:49:42.209+02:00, 0.230E+00,   0.46091, 0.34219E+01
       3,2026-06-19T10:49:42.501+02:00, 0.230E+00,   0.69137, 0.37031E+01
       4,2026-06-19T10:49:42.694+02:00, 0.230E+00,   0.92183, 0.39062E+01
       5,2026-06-19T10:49:42.873+02:00, 0.230E+00,   1.15228, 0.40781E+01
       6,2026-06-19T10:49:43.133+02:00, 0.230E+00,   1.38274, 0.43281E+01
       7,2026-06-19T10:49:43.309+02:00, 0.230E+00,   1.61320, 0.45000E+01
       8,2026-06-19T10:49:43.496+02:00, 0.230E+00,   1.84365, 0.46875E+01
       9,2026-06-19T10:49:43.766+02:00, 0.230E+00,   2.07411, 0.49531E+01
      10,2026-06-19T10:49:43.966+02:00, 0.230E+00,   2.30457, 0.51094E+01
      20,2026-06-19T10:49:46.099+02:00, 0.230E+00,   4.60913, 0.71719E+01
      30,2026-06-19T10:49:48.568+02:00, 0.230E+00,   6.91370, 0.95469E+01
      40,2026-06-19T10:49:50.957+02:00, 0.230E+00,   9.21826, 0.11828E+02
      50,2026-06-19T10:49:53.702+02:00, 0.230E+00,  11.52283, 0.14422E+02
      60,2026-06-19T10:49:56.701+02:00, 0.230E+00,  13.82739, 0.17266E+02
      70,2026-06-19T10:49:59.188+02:00, 0.230E+00,  16.13196, 0.19578E+02
      80,2026-06-19T10:50:01.601+02:00, 0.230E+00,  18.43652, 0.21969E+02
      90,2026-06-19T10:50:04.008+02:00, 0.230E+00,  20.74109, 0.24344E+02
     100,2026-06-19T10:50:06.323+02:00, 0.230E+00,  23.04565, 0.26562E+02
     200,2026-06-19T10:50:48.822+02:00, 0.112E+00,  41.24787, 0.67203E+02
     300,2026-06-19T10:51:41.091+02:00, 0.898E-01,  51.05879, 0.11719E+03
     400,2026-06-19T10:52:28.414+02:00, 0.791E-01,  59.21829, 0.16284E+03
     500,2026-06-19T10:53:21.729+02:00, 0.691E-01,  66.37707, 0.21422E+03
     600,2026-06-19T10:54:02.968+02:00, 0.626E-01,  72.53928, 0.25311E+03
     700,2026-06-19T10:54:57.145+02:00, 0.569E-01,  78.41794, 0.30450E+03
     800,2026-06-19T10:56:00.000+02:00, 0.535E-01,  83.49177, 0.36519E+03
     900,2026-06-19T10:57:12.544+02:00, 0.490E-01,  88.74425, 0.43403E+03
    1000,2026-06-19T10:58:24.065+02:00, 0.458E-01,  93.55167, 0.50388E+03
    1100,2026-06-19T10:59:18.689+02:00, 0.460E-01,  98.63752, 0.55641E+03
    1200,2026-06-19T11:00:12.558+02:00, 0.419E-01, 103.14014, 0.60892E+03
    1300,2026-06-19T11:01:04.914+02:00, 0.370E-01, 107.50532, 0.65934E+03
    1400,2026-06-19T11:01:57.522+02:00, 0.461E-01, 111.75238, 0.70981E+03
    1500,2026-06-19T11:02:50.131+02:00, 0.402E-01, 115.99482, 0.76122E+03
    1600,2026-06-19T11:03:44.079+02:00, 0.375E-01, 119.95572, 0.81331E+03
    1700,2026-06-19T11:04:38.176+02:00, 0.425E-01, 124.06602, 0.86531E+03
